,title,개월,spell,token
0,조리원에서 유축한것도 직접 먹이시나요!?,0개월,조리원에서 유축한 것도 직접 먹이시나요!?,조리 유축 것 직접
1,혼합에서 분유만 하려면 어떻게 해야하나요?,0개월,혼합에서 분유만 하려면 어떻게 해야 하나요?,혼합 분유 하나요
2,신생아 음식 달라고할때마다 줘도되나요?도와주세요,0개월,신생아 음식 달라고 할 때마다 줘도 되나요?도와 주세요,신생아 음식 달라 때 도
3,"수음식 3일차인데, 모유 내일부터 해도 될까요?",0개월,"수음식 3일차인데, 모유 내 일부터 해도 될까요?",음식 모유 내 일 해도 요
4,조리원퇴소.. 유축 사야하나요?,0개월,조리원 퇴소.. 유축 사야 하나요?,조리 퇴소 유축 하나요
5,23일차 신생아 혼합 맞게하고 있나요?,0개월,23일 차 신생아 혼합 맞게 하고 있나요?,차 신생아 혼합
6,신생아 분유 추천해주세요,0개월,신생아 분유 추천해주세요,신생아 분유 추천
7,다들 신생아 주기 원래이러나요?ㅠㅠ,0개월,다들 신생아 주기 원래 이러나요?ㅠㅠ,신생아 주기 원래
8,23일차 120먹고도 계속 찡얼대면 어떻게 해야하나요ㅜ,0개월,23일 차 120먹고도 계속 찡 얼대면 어떻게 해야 하나요ㅜ,차 계속 얼 대면 하나요
9,직수거부ㅜ 유축해서 해 먹이려하는데,0개월,직수 거부 ㅜ 유축해서 해 먹이려 하는 데,직수 거부 유축 해 데
10,제왕하고 아직 데 가슴 마사지 시 받아야할까요,0개월,제왕하고 아직 데 가슴 마사지 시 받아야 할까요,제왕 데 가슴 마사지 시 요
11,20일된아기 모유모유젖꼭지 사이즈문,0개월,20일 된 아기 모유 젖꼭지 사이즈문,아기 모유 젖꼭지 사이즈 문
12,출산후 첫 가슴마사지 아프나요?,0개월,출산 후 첫 가슴 마사지 아프나요?,출산 후 첫 가슴 마사지
13,모유,0개월,모유,모유
14,14일된 아기 분유 봐주세요ㅠㅠ,0개월,14일 된 아기 분유 봐주세요 ㅠㅠ,아기 분유
15,아가들 보통 시쯤 부터 잘 빨까요???,0개월,아가들 보통 시쯤 부터 잘 빨까요???,아가 보통 쯤 부터 요
16,시 8일차 직수거부 ㅠㅠ법이 뭘까요,0개월,시 8일차 직수거부 ㅠㅠ 법이 뭘까요,시 직 거부 법 뭘
17,시 16일 아기 시수 안해도 될까요?,0개월,시 16일 아기 시 수 안 해도 될까요?,시 아기 시 수 안 해도 요
18,모유가 정답일까요? ㅜㅜ,0개월,모유가 정답일까요? ㅜㅜ,모유 정답 요
19,모유 도와주세요ㅜㅜ,0개월,모유 도와 주세요 ㅜㅜ,모유 도
20, 때문에 힘드셨던 경험자님들 조언 부탁드려요,0개월,때문에 힘드셨던 경험자님들 조언 부탁드려요,때문 경험 자 조언
21,모유이 안시아요..,0개월,모유 이 안 시간 아요..,모유 이 안 시간
22,유축하면 양이 줄어드나요?,0개월,유축하면 양이 줄어드나요?,유 축하 양 드 요
23,출산 13일차  도움좀 주세요ㅠㅠ,0개월,출산 13일차 도움 좀 주세요ㅠㅠ,출산 도움 좀
24,모유 도움좀부탁드려요ㅜㅠ!,0개월,모유 도움 좀 부탁드려 요ㅜㅠ!,모유 도움 좀 요
25,로 바로 분유타도 되나요??,0개월,로 바로 분유 타도 되나요??,로 바로 분유 타도
26,조리원에서 할때 지칭님이 가슴을 쥐어짜요,0개월,조리원에서 할 때 지칭님이 가슴을 쥐어짜요,조리 때 지칭 가슴
27,29일된 아기 양 나 되시나요?,0개월,29일 된 아기 양 나 되시나요?,아기 양 나
28,저 완전 삭 걸까요?,0개월,저 완전 삭 걸까요?,저 완전 삭 요
29,모유하시는분들  잘 하세요?,0개월,모유하시는 분들 잘 하세요?,모유
30,조리원퇴소 하루만에 다유결심..,0개월,조리원 퇴소 하루 만에 다유결심..,조리 퇴소 하루 유 결심
31,"출산12일째, 열나는데 해도 괜찮나요?",0개월,"출산 12일째, 열나는 데 해도 괜찮나요?",출산 데 해도
32,유축 처음했는데 양이 너무 많아요 ㅠㅠ 도와주세요,0개월,유축 처음 했는데 양이 너무 많아요 ㅠㅠ 도와주세요,유축 처음 양
33,사출 심할때 법들 론 알겠는데 ㅜ ㅜ,0개월,사출 심할 때 법 들 론 알겠는데 ㅜ ㅜ,사출 때 법 론
34,20일 신생아 분유 나먹어요?,0개월,20일 신생아 분유 나 먹어요?,신생아 분유 나
35,이 2시이면 2시후 애가 자고있을때 깨워서 먹여야하나요,0개월,이 2시 이면 2시 후 애가 자고 있을 때 깨워서 먹여야 하나요,이 이면 후 애가 자고 때 하나요
36,모유이 단단하고 모유가 나와여ㅠ,0개월,모유 이 단단하고 모유가 나와 여ㅠ,모유 이 모유 여
37,모유 완전 초보 문있어요ㅠㅠ,0개월,모유 완전 초보 문 있어요 ㅠㅠ,모유 완전 초보 문
38,시 7일 아기 분유이요,0개월,시 7일 아기 분유이요,시 아기 분유
39,치만 먹고 다음에 다른쪽 먹여도 될까요?,0개월,치만 먹고 다음에 다른 쪽 먹여도 될까요?,치 다음 다른 쪽 요
40,모유? 원래 이런건가요 ㅠ,0개월,모유? 원래 이런 건가요 ㅠ,모유 원래 건가
41,신생아 분유태울때 한스푼 단로 늘리는건가요??,0개월,신생아 분 유 태울 때 한 스푼 단로 늘리는 건가요??,신생아 분 유 때 스푼 건가
42,출산 20일차 직수를 한번도 못해봤어요,0개월,출산 20일차 직수를 한 번도 못해봤어요,출산 직수 번
43,모유 중 양념음식,0개월,모유 중 양념 음식,모유 중 양념 음식
44,시까지 3시마다 한번씩,0개월,시까지 3시마다 한 번씩,시 번
45,8일차 아기 모유젖꼭지모유모유젖꼭지 ,0개월,8일 차 아기 젖꼭지 종류 모유 젖꼭지,차 아기 젖꼭지 종류 모유 젖꼭지
46,신생아 모유 + 혼합 중인데 공차 먹어버렸어요ㅠㅠㅠ 괜찮나요???,0개월,신생아 모유 + 혼합 중인데 공차 먹어버렸어요 ㅠㅠㅠ 괜찮나요???,신생아 모유 혼합 중 공차
47,신생아 직수와 유축,0개월,신생아 직수와 유축,신생아 직수 유축
48,시가 가능하다고 가정했을때.. 문있어요!,0개월,시간 가 가능하다고 가정했을 때.. 문 있어요!,시간 가정 때 문
49,조리원 퇴소하고 첫날 어떻게 해야하나요?,0개월,조리원 퇴소하고 첫날 어떻게 해야 하나요?,조리 퇴 소하 첫날 하나요
50,모유를 계속해야할까요,0개월,모유를 계속 해야 할까요,모유 계속 요
51,출산 4일째 모유를 못하고있어요ㅜ,0개월,출산 4일째 모유를 못하고 있어 요ㅜ,출산 모유 못 요
52,출산5일차 직수할때 피가나요 ㅠㅠ,0개월,출산 5일차 직수할 때 피가나요 ㅠㅠ,출산 직수 때
53,유두까짐 유두보호기 어떤거 괜찮은가요?,0개월,유두 까짐 유두 보호기 어떤 거 괜찮은가요?,유두 짐 유두 보호 기 거
54,제왕+5일차 와 유축 도와주세요,0개월,제왕+5일차 와 유축 도와 주세요,제왕 유축 도
55,초유양이 적어요,0개월,초유양이 적어요,초유
56,신생아 다유하려고 분유줬는데 변왔어요ㅠㅠ,0개월,신생아 다유하려고 분유 줬는데 변 왔어요 ㅠㅠ,신생아 유하 려고 분유 변
57,14일차 모유량 많아요ㅠ(맘님들의견부탁드려요),0개월,14일 차 모유량 많아요ㅠ(맘님들의 견 부탁드려요),차 유량 맘 견
58,초산맘 가슴열감팽창 유축?,0개월,초산맘 가슴 열감 팽창 유축?,초산 맘 가슴 감 팽창 유축
59,16일차 아가 이렇게 먹는게 인가요?,0개월,16일 차 아가 이렇게 먹는 게 인가요?,차 아가 게
60,유축후에 항상 냉찜해도 괜찮을까요?,0개월,유축 후에 항상 냉찜해도 괜찮을까요?,유축 후 항상 냉찜 해도
61,제왕 19일째,0개월,제왕 19일째,제왕
62,"지칭 다유할 인데, 의견들이 다 너무 다르네요",0개월,"지칭 다유할 인데, 의견들이 다 너무 다르네요",지칭 유 의견
