,freq
화,2
끽,1
바닥,1
끈,8
과체중,1
덩어리,2
변화,4
골다공증,3
레이스,1
물기,2
부어,1
녹차,1
찌꺼기,3
시,34
맥,2
아가,849
유유,1
소독,3
일부분,1
물,14
잠,21
골,2
붐,1
크기,12
고,1
대학병원,4
신랑,1
물리,31
물잡,1
파스퇴르,2
한시,1
내야,1
입실,1
토미,1
이뇨제,1
이기,5
수치,2
유,626
빈,4
화제,1
주신,1
헤어,1
적지,2
밤중,76
깊이,2
심포니,1
구내염,1
벤트,3
보신,1
유축압,1
완모하,8
영,1
압박,1
곡,1
일주,3
줌,1
이상은,1
차,136
유준,1
피부관리,2
비교,2
부리면,1
찌릿거려,2
요,1159
거,123
유약,11
동영상,2
터,3
위,1
찌릿,8
베비,6
밀가루,1
분명,2
겔,1
왕초보,2
불타,1
오분,1
복역,1
원샷,1
합,1
다섯,4
애일,1
수하,86
전혀,6
결정,3
자게,1
글,10
옹알,1
상이,1
공유,166
상관,1
빨,10
다른,34
김치,3
죽,3
정수,6
냉면,1
유축량,8
케이,1
영양소,1
민중,1
잡기,2
여요,1
과식,3
반영구,1
문의,63
넘김,1
센서,1
욕구,5
뮬러,1
냉채,1
사서,1
마크,1
강북구,1
두통,2
이모,2
환,2
액상뷴유,1
아침,3
때문,54
해당,2
버릇,1
소스,2
펜,1
엽떡,1
패닉,1
건데,3
브라,5
사도,1
냄새,5
초기,11
소리,30
탯줄,1
날판,1
게,11
주름,1
나신,1
쪽,3
심각,1
유저,11
발악,1
딸,1
뉴트라,1
반드시,2
국산,6
커피,10
보리차,2
컷,1
시나,33
인지도,1
확쭐었어,1
워,3
이후,39
땀,3
쪽쪽이,8
기저귀,5
출생,6
종,1
보통,9
유가,9
안정,1
콜라겐,1
주변,3
가슴속,1
축약,1
유도,9
준비물,5
총,2
이용,29
배앓이,53
부근,1
유지방,1
현자,1
틀,1
유망,1
설소대,2
리가,1
끝,6
접종,2
중단,14
부활,3
수여,1
김치찌개,1
기요,8
중이,23
전유,15
수양,4
니,5
로열,1
재사용,1
유부,17
긴급,1
따위,1
항상,7
새벽,70
라면,2
가정,1
분가,1
와인,1
열흘,3
겨우,3
데오드란트,1
관할,1
짜증,42
돌때,1
타입,1
해,100
처음,40
한쪽,77
욕심,1
목마,1
양배추,1
임신,9
덤,1
난리,1
마리,1
냉,3
아이,151
낮잠,19
이따,1
동시,3
물회,1
해영,1
변량,1
밀고,1
일찍,14
힘,22
조절,4
아기,3041
뭔가,26
해외,1
정수기,1
타령,1
가용,3
쭈쭈,18
마일,1
제유,2
성숙,2
수면제,1
사출도,2
보약,2
지루,1
옆,1
이제야,1
