word,synonym,전문가 의미
분유,,
수유,,삭제
모유수유,,
몇개월,시간,
단유,다유,
유축수유,유축,
완모,,완전모유수유
양,양,
직수,,아기에게 유륜울 통해 물리는 것(직접수유)
질문,문의,
혼합,혼유,모유와 분유수유를 병행하는 것
몇단계,분유,
수유텀,시간,
젖,모유,
압타밀분유,분유명,
언제,시간,
힙분유,분유명,브랜드명: 힙분유(이마트에서 파는 분유)
밤수,,밤중수유
젖병,,
젖양,,
생후,시간,
유두,,
액상분유,분유명,
용,,급성장기 시 아기가 용쓰는 모습을 표현
방법,,
출산,분만,
추전,,
완분,분유,
궁굼,,삭제
젖꼭지,,
분유량,분유,
앱솔루트분유,분유명,
거부,,
수유량,,
조리원,,
이유,,
노발락분유,분유명,브랜드명: 노발락(녹십자)
방법,,
새벽,시간,
조언,,
치아,,유치는 생후 6개월부터 만 3세 무렵까지 난다.
마사지,,
고민,,
대변,변,
다른사람,지칭,
몸무게,,
가능,,
푸어락분유,분유명,
산양분유,분유명,
초유,,
재왕절개,,
방법,어떻게,
막수,,하루 중 마지막 수유
밤,시간,
보충,,모유수유 후 분유수유하는 것
통잠,,밤에 안 깨고 푹 자는 것(5~7시간)
유축기,유축,
모유량,,
공유,,
토,구토,
젖병거부,,
간,,삭제
시작,,삭제
유선염,,
단유마사지,단유,
젓몸살,,
위드맘분유,분유명,브랜드명: 파스퇴르 위드맘
사용,,삭제
유축모유,유축,
물,,삭제
트림,,
더블하트,젖꼭지종류,더블하트 젖꼭지
보관,,
배앓이,영아산통,
사출,,
무엇,어떤,삭제
부족,,
하트,젖꼭지종류,젖병 젖꼭지
변비,변,
약,,
양쪽,위치,
외출,,
우유,흰우유,
아이엠마더분유,분유명,
분유변경,분유,
분유갈아타기,분유,
대변,변,
정체,,아이가 분유나 모유수유를 잘 안하는 시기
냉동,,삭제
냉장,,삭제
보호,,
꿈수,,밤에 아기 깨우지 않고 수유하는 것
트루맘분유,분유명,
텀,,삭제
얼마,,삭제
둘째,지칭,
이유,,삭제
도움,,
백일,시간,
관련,,삭제
밤수끊기,,
생리,,
마트,,삭제
문의,질문,
변경,,삭제
영양,,
중탕,,삭제
음식,,
병원,,
필요,,삭제
유산균,비오타민,
성공,,삭제
분유텀,분유,
궁분유,분유명,
찌릿,,
한쪽,위치,
짜증,원더웍스,
설사,변,
단유약,약,
집,,삭제
색,,삭제
총량,양,
입,,삭제
주사관,,삭제
낮,시간,
교체,갈아타다,
자세,풋볼자세,수유자세
녹변,변,
배,,삭제
퇴소,조리원퇴소,
개,,삭제
키,,
커피,음식,
킨더밀쉬,브랜드명,돌아기 생우유로 갈아탈때 먹는 멸균우유
선택,,삭제
효과,,삭제
분유거부,분유,
분리,,삭제
경우,시간,삭제
스트레스,,
유륜,,
첫째,지칭,
자연단유,,
포트,분유포트,
코알라분유,분유명,
피,,
소화,,
임페리얼분유,분유명,
젓뭉침,,
혼란,,
통증,,
유축양,유축,
팩,,삭제
어디,,삭제
열,고열,
알레르기,,
유축량,유축,
증상,,
돌,시간,
쭈쭈베이비젖꼭지,젖꼭지종류,
밥,음식,
빨기욕구,빠는힘,
꼭지,젖꼭지종류,
베이비브레짜,브랜드명,자동 분유 제조기
초보,,
걱정,,
복용,,
유축시간,유축,
포기,,
생유유,우유,생우유?
유방,,
홀레분유,분유명,독일 홀레분유
질,,삭제
감기,,
단유,시간,몇개월 단유?
백반,가슴,
병,,삭제
방귀,가스,
아침,시간,
분유끊기,분유,
이유식,,
쿠션,수유쿠션,
선배엄마,지칭,
정수기,,삭제
황달,,모유황달: 모유중에 배설되는 호르몬에 의해 발생
갈아타다,교체,
오케타니,브랜드명,가슴마사지
중이,,삭제
눕수,,누워서 수유하는 것
극복,,
뱃구레,뱃골,
저장,,삭제
가루,,삭제
기준,,삭제
단단하다,가슴,
전유,,모유수유초반10분이내 나옴
패턴,,
닥터브라운,브랜드명,배앓이 방지용으로 만든 제품
밤잠,,
상처,,
임산,,임신?
항생제,약,
베비언스액상분유,분유명,
조리원퇴소,퇴소,
중단,,
함몰유두,유두,유두가 안쪽으로 들어가 숨어있는 경우
가슴통증,가슴,
공갈,쪽쪽이,공갈젖꼭지
공기,,삭제
차이,,삭제
멍울,가슴,
맥주,음식,
소독,,삭제
준비,,삭제
녹,,삭제
조절,,삭제
종류,,삭제
냄새,,삭제
산후,시간,
여행,,
거품,,삭제
남양,분유명,
"유미(젖병,젖꼭지)",브랜드명,배앓이 방지용으로 만든 제품
정상,,삭제
뢰벤짠분유,분유명,
손,,삭제
"스펙트라(유축기, 젖병)",브랜드명,
아이베넷분유,분유명,
젖거부,,
뭉치다,가슴,
분유수유,분유,
파스퇴르 분유,분유명,
기저귀,,삭제
온도,,삭제
실온,,삭제
패드,,삭제
해동,,삭제
수면,잠,
수입,,삭제
이물질,,삭제
일동후디스산양분유,분유명,
직구,분유,삭제
시도,,삭제
관리,,삭제
머리,,삭제
무전분,분유명,
완모직수,직수,
컵,,삭제
우울,,
전분,분유명,
직수거부,,
쭈쭈,젖꼭지종류,
낮잠,,
몸,,삭제
오른쪽,위치,
왼쪽,위치,
처방,,삭제
호환,,삭제
후디스분유,분유명,
타이레놀,약,
날짜,시간,
독일분유,분유명,
모유유축,유축,
일회병젖병,,삭제
첫수,,
초산,,
충분,,삭제
디카페인,음식,
모유수유텀,,
세균,,삭제
술,음식,
유즙,,
조제,분유,
가려움,,삭제
감기약,약,
맘라떼모아,브랜드명,
적응,,
노하우,,
완모,시간,몇개월 완모?
분수토,토,구토
분유단계,분유,
용량,,삭제
젖병끊기,,
철분,,
피부,,삭제
계산,,삭제
가슴뭉침,가슴,
매운음식,음식,"고추, 고춧가루, 고추바사삭, 고추장, 국물닭발, 김치, 땡초김밥, 떡볶이, 땡초치킨, 매운오뎅, 매운탕, 엽떡"
사레,,
카보크림,약,브랜드명
몽울,가슴,
무항상제,분유명,무항생제위드맘(파스퇴르)
비타민,,
울혈,가슴,
유통기한,,삭제
증가,,삭제
단유차,,
소변,,
얼굴,,삭제
잠투정,,
해결,,삭제
반대쪽,위치,
식사,,삭제
인파트리니분유,분유명,
식혜,음식,단유할때 먹는 음식
장염,,
코,,삭제
구분,,삭제
물,,삭제
성분,,삭제
유구염,가슴,
자분,출산,
재수유,,단유 후 수유
주사,약,
총량,양,
입원,,
그린맘젖병,브랜드명,
니플,유두,
멸균,,삭제
몸살,,
묽은변,변,
발,,삭제
옷,,삭제
유축텀,유축,
적정,,삭제
헤겐젖병,브랜드명,
확인,,삭제
구매,,삭제
겨드랑이,,
두드러기,,
두유,음식,
메델라,브랜드명,삭제
분만,출산,
빨다,,
수술,,
육아,,
식단,,삭제
통곡,,가슴마사지
가스,방귀,
물온도,,삭제
세척,,삭제
엿기름,,삭제
유랑,,삭제
젖병소독,,삭제
직수완모,직수,
짝짝이가슴,가슴,
개봉,,분유 개봉한 것
촉진,,
티,맘라떼모아,모유 수유 촉진차
해외,,삭제
고개,,삭제
국,음식,
낮수,시간,낮에 하는 수유
도전,,
매일분유,분유명,
멍,가슴,
속상,,
유당불내증,,
유선,가슴,
평균,,
계획,,삭제
목욕,,삭제
산후조리,,
연습,,삭제
염색,,삭제
저체중,,아기 체중저하
치료,,
남편,지칭,
균열,가슴,
경험,,
손유축,유축,
역류,,아기 수유 후 게우는 것
조제분유,분유명,
치밀,치밀유방,
목,,
공복,,삭제
구입,,삭제
방지,,삭제
보온,,삭제
젖병수유,,
한약,약,
건조,,삭제
냉찜질,가슴,
뒤집다,,
라면,음식,
분유,,
모윰,브랜드명,
물집,가슴,
반응,,삭제
분유알러지,분유,
분유추천,분유,
브래지어,,삭제
빠는힘,빨다,
생수,물,삭제
습관,,삭제
원더웍스,짜증,
출장,,
회사,,
교정,,"수유자세교정, 함몰교정"
노력,,
신형,,삭제
가슴,,
꿈,,삭제
된변,변,
복직,,
생후한달,시간,
실패,,삭제
아이엠뉴질랜드분유,분유명,
양배추,음식,
연고,약,
열탕소독,,삭제
입맛,,삭제
젓병꼭지,젖꼭지종류,
찌꺼기,,삭제
덩어리,,삭제
두통,,
땀,,삭제
마더케이,브랜드명,
불편,,
산모,,
상온,,삭제
이유식양,,
초코,음식,
눈,,삭제
칼슘,,
그로미미,브랜드명,
뉴위드맘,분유명,
딸꾹질,,
병행,,삭제
보리차,물,
산부인과,,삭제
설소대,,
손빨기,,
쌍둥이,,
워킹맘,,
위,,삭제
유축방법,유축,
유피스젖꼭지,젖꼭지종류,
의사,지칭,
입짧은,,
젖끊기,,
젖마름,,
젖병사이즈,,
짝가슴,가슴,
헛구역질,,
아벤트,브랜드명,
호박,음식,
교육,,
신호,,삭제
실수,,삭제
투명,,삭제
과자,음식,
깔대기,,삭제
독감,,
딱딱하다,가슴,
멘붕,난리,
보틀워머,,삭제
손가락,,
식힌물,물,삭제
시어머니,지칭,
이앓이,,
조유,,삭제
직수텀,,
진통제,약,
파마,,삭제
팔,,삭제
하얀색,색,
후유,,
후회,,
셋째,지칭,
건강,,
간격,,삭제
고열,열,
기름진음식,음식,
기분,,
기침,,
난리,멘붕,
누구,지칭,
다이어트,,
밀가루,음식,
분유보충,분유,
새벽유축,유축,
어플,,수유텀 어플
이스트,,
제조,분유,
집착,젖집착,
품절,,삭제
혀,,삭제
시반,,삭제
포만감,,
포함,,삭제
가슴크기,가슴,
고이다,가슴,
구멍,,삭제
눈물,,삭제
미네랄오일,,삭제
밤수텀,,
비오타민,유산균,일동 비오타민 프로바이오틱스
성장,,
소화불량,,
수유시간,,
무엇,,
오메가,,
오전,시간,
접종,,
정보,,
정착,,
중요,,
짜내다,유축,
출생,,
치킨,음식,
녹색,색,
외과,,
욕심,,삭제
행동,,
계란,음식,
골,,삭제
규정,,삭제
면역,,
무알콜맥주,음식,
비염,,
빵,음식,
소요,,삭제
수액,약,
숨,,삭제
유선막힘,가슴,
유축팩,유축,
응급실,,
이모,지칭,
입술,,
제거,,삭제
집중,,
초밥,음식,
카버락틴정,약,
트러블,,삭제
파스,약,
햄버거,음식,
혼유,혼합,
홍삼,음식,
휠,,삭제
가리개,,삭제
감염,,
귀,,삭제
눈썹,,삭제
모자,,삭제
미역국,음식,
심각,,삭제
가슴멍울,가슴,
간식,음식,
과일,음식,
권장,,삭제
누크,브랜드명,"젖병, 젖꼭지"
니큐,,신생아중환자실(NICU)
무항생제위드맘,분유명,
끓는물,물,삭제
물젖,,
보호기,,유두보호기
빈젖,,
소화제괜찮을까,약,소화제?
수유쿠션,쿠션,
순두부,음식,
연관,,삭제
영아산통,배앓이,
잇몸,,
장난,,
죄책감,,
중탕방법,,삭제
초록색,색,삭제
치과,,삭제
케이크,음식,
크림,약,유륜상처연고
탄산음료,음식,
허리,,삭제
관계,,삭제
구토,토,
구형,,삭제
착용,,삭제
책,,삭제
포진,,삭제
해외여행,여행,
검사,,삭제
고비,,
고생,,
골감소증,,삭제
과식,,삭제
굿바이밀,브랜드명,단유차
냉동유축,유축,
노란색,색,
대변냄새,변,
막걸리,음식,
모유중탕,,삭제
목감기,,
배탈,,
복숭아,음식,
혼합분유,분유명,
수돗물,물,삭제
씨밀락분유,분유명,
압력,유축,
오후,시간,
왈톽,,아기가토할때의모습
유당알러지,분유,
유두혼동,유두,
유리젖병,,
잠,수면,
전기,,삭제
전자레인지,,삭제
젖집착,집착,
젤,,삭제
조리원분유,분유명,
조유방법,분유,삭제
쪽쪽이,공갈,
첫생리,,삭제
침전물,,삭제
코감기,,아기 코감기
퇴원,,삭제
푸룬주스,음식,
풋볼자세,자세,수유자세
피부과,,삭제
흰우유,우유,
분유,,
급성장,,
녹십자,분유명,
대비,,삭제
순서,,삭제
지속,,
기름진음식,음식,"곱창, 곱창볶음, 막창"
뜨거운물,물,삭제
모유색,,
모유텀,,
목넘김,,삭제
베지밀,음식,
분유단유,분유,
분유포트,분유,삭제
사랑니,,삭제
산양유,분유명,
속눈썹,,삭제
속옷,,삭제
스타벅스,음식,
약사,지칭,
양쪽유축,유축,
예방,,삭제
유팡소독기,브랜드명,삭제
음주,음식,
의심,,삭제
이유식거부,,
일루마분유,분유명,삭제
자궁,,삭제
전유와후유,모유,
절실,,삭제
젖꼭지통증,,삭제
젖병세척,,삭제
젖병젖꼭지,젖꼭지종류,
제품,,삭제
종합,,삭제
주의,,삭제
중이염,,
중탕기,,삭제
중탕시간,,삭제
처리,,삭제
첫유축,유축,
체력,,삭제
친정,지칭,삭제
항문,,삭제
해열제,약,
황금변,변,
회,음식,
가슴,가슴,
시어머니,지칭,
아들,지칭,
곰돌이,단유,
기상,시간,삭제
기절,수면,아기 기절한 것처럼 밤에 잘 잠
단맛,,삭제
대상,,삭제
대처,,삭제
목장,,삭제
물변,변,
미숙아,,
수출,,삭제
식량,,삭제
신청,,삭제
진행,,삭제
토끼,,삭제
가슴딱딱,가슴,
가슴처짐,가슴,
각시밀유축기,브랜드명,
강제,,삭제
같은분유,분유,
고집,,
고통,,
기능,,삭제
끈적,,삭제
링거,약,
마카롱,음식,
무알콜,음식,
바이오,분유명,
밤낮,시간,
변색깔,변,
보약,약,
부작용,약,
분말,,삭제
소분,,삭제
솔가,브랜드명,영양제
수분,,삭제
수족,,삭제
아이스팩,,삭제
알펜비,사이트명,삭제 (분유사이트)
선배엄마,지칭,
여름,,삭제
열탕,,삭제
온찜질,,삭제
우유알러지,우유,
위쪽,위치,
유두통증,유두,
유두크기,유두,
유선염약,약,
유지,,삭제
전문가,,
정량,,삭제
젖병교체,,
제한,,삭제
충격,,삭제
컵라면,음식,
쿠첸분유포트,포트,삭제
편평유두,유두,
피자,음식,
혼수,,삭제
대변,변,
김,음식,
참치,음식,
갑상선,,
검진,,영유아검진
계량,,삭제
고무,,삭제
곰팡이,,삭제
과정,,삭제
긴급,,삭제
단점,,삭제
만족,,삭제
목표,,삭제
반대,,삭제
양치,,삭제
오일,,삭제
원인,,삭제
진입,,삭제
찰흙,,삭제
카페,,삭제
특정,,삭제
판단,,삭제
해당,,삭제
현명,,삭제
회복,,삭제
