,Unnamed: 0,title,개월,spell,token
0,0,조리원에서 유축한것도 직접 먹이시나요!?,0개월,조리원에서 유축한 먹이시나요!?,조리 유축
1,1,혼합수유에서 분유수유만 하려면 어떻게 해야하나요?,0개월,혼합수유에서 분유 수유만 하려면 어떻게 하나요?,혼합  분유  하나요
2,2,신생아 밥 달라고할때마다 줘도되나요?도와주세요,0개월,신생아 음식 달라고 때마다 줘도 되나요? 도와주세요,신생아 음식 달라 때
3,3,"수술 3일차인데, 모유수유 내일부터 시작해도 될까요?",0개월,"수술 3일차인데, 모유  내일부터 시작해도 될까요?",수술 모유 내일  요
4,4,조리원퇴소.. 유축기 사야하나요?,0개월,조리원 퇴소.. 유축 사야 하나요?,조리 퇴소 유축 하나요
5,5,23일차 신생아 혼합수유 맞게하고 있나요?,0개월,23일차 신생아 혼합수유 맞게 있나요?,신생아 혼합 수유
6,6,신생아 분유 추천해주세요,0개월,신생아 분유 추천해주세요,신생아 분유 추천
7,7,다들 신생아 주기 원래이러나요?ㅠㅠ,0개월,다들 신생아 주기 원래이러나요?ㅠㅠ,신생아 주기 원래
8,8,23일차 120먹고도 계속 찡얼대면 어떻게 해야하나요ㅜ,0개월,23일차 120 먹고도 계속 찡얼대면 어떻게 하나요ㅜ,계속 하나요
9,9,직수거부ㅜ 유축해서 중탕해 먹이려하는데,0개월,직수 거부ㅜ 유축해서 중탕해 먹이려 하는데,직수 거부 유축 중탕
10,10,제왕하고 아직 병원인데 가슴 마사지 언제 받아야할까요,0개월,제왕하고 병원인데 가슴 마사지 시간 받아야 할까요,제왕 병원 가슴 마사지 시간 요
11,11,20일된아기 젖꼭지 사이즈문의,0개월,20일 아기 젖꼭지 사이즈 문의,아기 젖꼭지 사이즈 문의
12,12,출산후 첫 가슴마사지 아프나요?,0개월,출산 후 첫 가슴 마사지 아프나요?,출산 후 첫 가슴 마사지
13,13,모유수유텀,0개월,모유  텀,모유 텀
14,14,14일된 아기 분유량 봐주세요ㅠㅠ,0개월,14일 아기 분유 봐주세요ㅠㅠ,아기 분유
15,15,아가들 보통 언제쯤 부터 잘 빨까요???,0개월,아가들 언제쯤부터 빨까요???,아가 시간 요
16,16,생후 8일차 직수거부 ㅠㅠ해결법이 뭘까요,0개월,생후 8일차 직수 거부 ㅠㅠ해결법이 뭘까요,생후 직수 거부  법 뭘
17,17,생후 16일 아기 밤수 안해도 될까요?,0개월,생후 16일 아기 시간 될까요?,생후 아기 시간 요
18,18,모유수유가 정답일까요? ㅜㅜ,0개월,모유 수유가 정답일까요? ㅜㅜ,모유  정답 요
19,19,모유 도와주세요ㅜㅜ,0개월,모유 도와주세요ㅜㅜ,모유
20,20,수유 때문에 힘드셨던 경험자님들 조언 부탁드려요,0개월,수유 때문에 힘드셨던 경험자님들 조언 부탁드려요,수유 때문 경험 자 조언
21,21,젖이 안돌아요..,0개월,젖이 돌아요..,젖
22,22,유축수유하면 양이 줄어드나요?,0개월,유축 수유하면 양이 줄어드나요?,유축  양 드 요
23,23,출산 13일차 수유성공 도움좀 주세요ㅠㅠ,0개월,출산 13일차   도움 좀 주세요ㅠㅠ,출산 도움 좀
24,24,모유수유 도움좀부탁드려요ㅜㅠ!,0개월,모유  도움좀부탁드려요ㅜㅠ!,모유 도움 좀
25,25,정수기물로 바로 분유타도 되나요??,0개월,정수기물로 바로 분유 타도되나요??,정수 기물 바로 분유 타도
26,26,조리원에서 수유할때 이모님이 가슴을 쥐어짜요,0개월,조리원에서 수유할 때 이모님이 가슴을 쥐어짜요,조리  때 지칭 가슴
27,27,29일된 아기 수유양 얼마나 되시나요?,0개월,29일 아기  양 얼마나 되시나요?,아기 양 얼마나
28,28,저 완전 실패한 걸까요?,0개월,저 완전히 실패한 걸까요?,저 요
29,29,모유수유하시는분들 식단관리 잘 하세요?,0개월,모유 수유하시는 분들   하세요?,모유 수유
30,30,조리원퇴소 하루만에 단유결심..,0개월,조리원 퇴소 하루 다유 결심..,조리 퇴소 하루 유 결심
31,31,"출산12일째, 열나는데 수유해도 괜찮나요?",0개월,"출산 12일째, 열나는데 수유해도 괜찮나요?",출산 수유
32,32,유축 처음했는데 양이 너무 많아요 ㅠㅠ 도와주세요,0개월,유축 처음 했는데 양이 많아요 ㅠㅠ 도와주세요,유축 처음 양
33,33,사출 심할때 대처법들 머리론 알겠는데 ㅜ ㅜ,0개월,사출 심할 때 대처법들 머리론 알겠는데 ㅜ ㅜ,사출 때  법  론
34,34,20일 신생아 분유 얼마나먹어요?,0개월,20일 신생아 분유 얼마나 먹어요?,신생아 분유 얼마나
35,35,수유텀이 2시간이면 2시간후 애가 자고있을때 깨워서 먹여야하나요,0개월,수유 텀이 2시간이면 2시간 후 애가 자고 때 깨워서 먹여야 하나요,수유  후 애가 자고 때 하나요
36,36,젖이 단단하고 모유가 나와여ㅠ,0개월,젖이 단단하고 모유가 나와요ᅲ,젖 모유
37,37,모유수유 완전 초보 질문있어요ㅠㅠ,0개월,모유  초보 질문있어요ㅠㅠ,모유 초보 질문
38,38,생후 7일 아기 분유량이요,0개월,생후 7일 아기 분유 냥이요,생후 아기 분유 냥
